strain	accession	strain_name	date	host	country	virus	subtype	type	sequence_locus
229e/JX503060/0349/2010	JX503060	0349	2010-XX-XX	Human	Netherlands	Human_coronavirus_229E	229e	alpha	full
229e/KM055531/11949_2011/2011	KM055531	11949_2011	2011-XX-XX	Human	China	Human_coronavirus_229E	229e	alpha	full
229e/KM055560/1424A_2009/2009	KM055560	1424A_2009	2009-XX-XX	Human	China	Human_coronavirus_229E	229e	alpha	full
229e/KM055553/1482A_2009/2009	KM055553	1482A_2009	2009-XX-XX	Human	China	Human_coronavirus_229E	229e	alpha	full
229e/KM055532/1512A_2009/2009	KM055532	1512A_2009	2009-XX-XX	Human	China	Human_coronavirus_229E	229e	alpha	full
229e/KM055533/1518A_2009/2009	KM055533	1518A_2009	2009-XX-XX	Human	China	Human_coronavirus_229E	229e	alpha	full
229e/KM055534/1546A_2009/2009	KM055534	1546A_2009	2009-XX-XX	Human	China	Human_coronavirus_229E	229e	alpha	full
229e/KM055535/1649A_2009/2009	KM055535	1649A_2009	2009-XX-XX	Human	China	Human_coronavirus_229E	229e	alpha	full
229e/KM055536/1658A_2009/2009	KM055536	1658A_2009	2009-XX-XX	Human	China	Human_coronavirus_229E	229e	alpha	full
229e/KM055537/1667A_2009/2009	KM055537	1667A_2009	2009-XX-XX	Human	China	Human_coronavirus_229E	229e	alpha	full
229e/KM055538/1761A_2010/2010	KM055538	1761A_2010	2010-XX-XX	Human	China	Human_coronavirus_229E	229e	alpha	full
229e/KM055539/1781A_2010/2010	KM055539	1781A_2010	2010-XX-XX	Human	China	Human_coronavirus_229E	229e	alpha	full
229e/KM055540/1782A_2010/2010	KM055540	1782A_2010	2010-XX-XX	Human	China	Human_coronavirus_229E	229e	alpha	full
229e/KM055541/1827A_2010/2010	KM055541	1827A_2010	2010-XX-XX	Human	China	Human_coronavirus_229E	229e	alpha	full
229e/KM055542/1829A_2010/2010	KM055542	1829A_2010	2010-XX-XX	Human	China	Human_coronavirus_229E	229e	alpha	full
229e/KM055543/1990A_2010/2010	KM055543	1990A_2010	2010-XX-XX	Human	China	Human_coronavirus_229E	229e	alpha	full
229e/KF285480/229E/NA	KF285480	229E	NA	Human	Thailand	Human_coronavirus_229E	229e	alpha	full
229e/KF293664/229E/NA	KF293664	229E	NA	Human	Thailand	Human_coronavirus_229E	229e	alpha	full
229e/KF293665/229E/NA	KF293665	229E	NA	Human	Thailand	Human_coronavirus_229E	229e	alpha	full
229e/KF293666/229E/NA	KF293666	229E	NA	Human	Thailand	Human_coronavirus_229E	229e	alpha	full
229e/MF542265/229E/Haiti_1/2016/2016	MF542265	229E/Haiti_1/2016	2016-03-XX	Human	Haiti	Human_coronavirus_229E	229e	alpha	full
229e/KF514429/229E/human/USA/892_11/1989/1989	KF514429	229E/human/USA/892_11/1989	1989-02-07	Human	USA	Human_coronavirus_229E	229e	alpha	full
229e/KF514432/229E/human/USA/932_72/1993/1993	KF514432	229E/human/USA/932_72/1993	1993-02-22	Human	USA	Human_coronavirus_229E	229e	alpha	full
229e/KF514433/229E/human/USA/933_40/1993/1993	KF514433	229E/human/USA/933_40/1993	1993-03-11	Human	USA	Human_coronavirus_229E	229e	alpha	full
229e/KF514430/229E/human/USA/933_50/1993/1993	KF514430	229E/human/USA/933_50/1993	1993-03-18	Human	USA	Human_coronavirus_229E	229e	alpha	full
229e/KF514431/229E/human/USA/953_49/1995/1995	KF514431	229E/human/USA/953_49/1995	1995-03-23	Human	USA	Human_coronavirus_229E	229e	alpha	full
229e/KM055544/2764A_2011/2011	KM055544	2764A_2011	2011-XX-XX	Human	China	Human_coronavirus_229E	229e	alpha	full
229e/KM055548/2861A_2011/2011	KM055548	2861A_2011	2011-XX-XX	Human	China	Human_coronavirus_229E	229e	alpha	full
229e/KM055549/2961A_2011/2011	KM055549	2961A_2011	2011-XX-XX	Human	China	Human_coronavirus_229E	229e	alpha	full
229e/KM055550/2981A_2011/2011	KM055550	2981A_2011	2011-XX-XX	Human	China	Human_coronavirus_229E	229e	alpha	full
229e/KM055551/359A_2007/2007	KM055551	359A_2007	2007-XX-XX	Human	China	Human_coronavirus_229E	229e	alpha	full
229e/KM055552/423A_2007/2007	KM055552	423A_2007	2007-XX-XX	Human	China	Human_coronavirus_229E	229e	alpha	full
229e/KM055554/494A_2008/2008	KM055554	494A_2008	2008-XX-XX	Human	China	Human_coronavirus_229E	229e	alpha	full
229e/KM055555/507A_2008/2008	KM055555	507A_2008	2008-XX-XX	Human	China	Human_coronavirus_229E	229e	alpha	full
229e/KM055556/693A_2008/2008	KM055556	693A_2008	2008-XX-XX	Human	China	Human_coronavirus_229E	229e	alpha	full
229e/KM055557/748_2005/2005	KM055557	748_2005	2005-XX-XX	Human	China	Human_coronavirus_229E	229e	alpha	full
229e/KM055545/8339_2009/2009	KM055545	8339_2009	2009-XX-XX	Human	China	Human_coronavirus_229E	229e	alpha	full
229e/KM055558/8348_2009/2009	KM055558	8348_2009	2009-XX-XX	Human	China	Human_coronavirus_229E	229e	alpha	full
229e/KM055546/8373_2009/2009	KM055546	8373_2009	2009-XX-XX	Human	China	Human_coronavirus_229E	229e	alpha	full
229e/KM055547/8425_2009/2009	KM055547	8425_2009	2009-XX-XX	Human	China	Human_coronavirus_229E	229e	alpha	full
229e/KM055559/857_2005/2005	KM055559	857_2005	2005-XX-XX	Human	China	Human_coronavirus_229E	229e	alpha	full
229e/KU291448/HCoV_229E/BN1/GER/2015/2015	KU291448	HCoV_229E/BN1/GER/2015	2015-XX-XX	Human	Germany	Human_coronavirus_229E	229e	alpha	full
229e/MN306046/HCoV_229E/Seattle/USA/SC0865/2019/2019	MN306046	HCoV_229E/Seattle/USA/SC0865/2019	2019-XX-XX	Human	USA	Human_coronavirus_229E	229e	alpha	full
229e/KY369913/HCoV_229E/Seattle/USA/SC1073/2016/2016	KY369913	HCoV_229E/Seattle/USA/SC1073/2016	2016-XX-XX	Human	USA	Human_coronavirus_229E	229e	alpha	full
229e/KY369910/HCoV_229E/Seattle/USA/SC1143/2016/2016	KY369910	HCoV_229E/Seattle/USA/SC1143/2016	2016-XX-XX	Human	USA	Human_coronavirus_229E	229e	alpha	full
229e/KY369911/HCoV_229E/Seattle/USA/SC1212/2016/2016	KY369911	HCoV_229E/Seattle/USA/SC1212/2016	2016-XX-XX	Human	USA	Human_coronavirus_229E	229e	alpha	full
229e/KY684760/HCoV_229E/Seattle/USA/SC2282/2017/2016	KY684760	HCoV_229E/Seattle/USA/SC2282/2017	2016-XX-XX	Human	USA	Human_coronavirus_229E	229e	alpha	full
229e/KY967357/HCoV_229E/Seattle/USA/SC2872/2015/2015	KY967357	HCoV_229E/Seattle/USA/SC2872/2015	2015-XX-XX	Human	USA	Human_coronavirus_229E	229e	alpha	full
229e/KY983587/HCoV_229E/Seattle/USA/SC3112/2015/2015	KY983587	HCoV_229E/Seattle/USA/SC3112/2015	2015-XX-XX	Human	USA	Human_coronavirus_229E	229e	alpha	full
229e/KY621348/HCoV_229E/Seattle/USA/SC379/2016/2016	KY621348	HCoV_229E/Seattle/USA/SC379/2016	2016-XX-XX	Human	USA	Human_coronavirus_229E	229e	alpha	full
229e/KY674914/HCoV_229E/Seattle/USA/SC399/2016/2016	KY674914	HCoV_229E/Seattle/USA/SC399/2016	2016-XX-XX	Human	USA	Human_coronavirus_229E	229e	alpha	full
229e/KY369908/HCoV_229E/Seattle/USA/SC579/2016/2016	KY369908	HCoV_229E/Seattle/USA/SC579/2016	2016-XX-XX	Human	USA	Human_coronavirus_229E	229e	alpha	full
229e/KY369909/HCoV_229E/Seattle/USA/SC677/2016/2016	KY369909	HCoV_229E/Seattle/USA/SC677/2016	2016-XX-XX	Human	USA	Human_coronavirus_229E	229e	alpha	full
229e/MN369046/HCoV_229E/Seattle/USA/SC9724/2018/2018	MN369046	HCoV_229E/Seattle/USA/SC9724/2018	2018-XX-XX	Human	USA	Human_coronavirus_229E	229e	alpha	full
229e/KY369912/HCoV_229E/Seattle/USA/SC9731/2016/2016	KY369912	HCoV_229E/Seattle/USA/SC9731/2016	2016-XX-XX	Human	USA	Human_coronavirus_229E	229e	alpha	full
229e/KY369914/HCoV_229E/Seattle/USA/SC9773/2016/2016	KY369914	HCoV_229E/Seattle/USA/SC9773/2016	2016-XX-XX	Human	USA	Human_coronavirus_229E	229e	alpha	full
229e/JX503061/J0304/2009	JX503061	J0304	2009-XX-XX	Human	Italy	Human_coronavirus_229E	229e	alpha	full
229e/KY674919/N08_434B/2016	KY674919	N08_434B	2016-XX-XX	Human	USA	Human_coronavirus_229E	229e	alpha	full
