strain	accession	strain_name	date	host	country	virus	subtype	type	sequence_locus
229e/JX503060/0349/2010	JX503060	0349	2010-XX-XX	Human	Netherlands	Human_coronavirus_229E	229e	alpha	full
229e/KM055590/11949_2011/2011	KM055590	11949_2011	2011-XX-XX	Human	China	Human_coronavirus_229E	229e	alpha	full
229e/KM055561/1424A_2009/2009	KM055561	1424A_2009	2009-XX-XX	Human	China	Human_coronavirus_229E	229e	alpha	full
229e/KM055562/1482A_2009/2009	KM055562	1482A_2009	2009-XX-XX	Human	China	Human_coronavirus_229E	229e	alpha	full
229e/KM055563/1512A_2009/2009	KM055563	1512A_2009	2009-XX-XX	Human	China	Human_coronavirus_229E	229e	alpha	full
229e/KM055564/1518A_2009/2009	KM055564	1518A_2009	2009-XX-XX	Human	China	Human_coronavirus_229E	229e	alpha	full
229e/KM055565/1546A_2009/2009	KM055565	1546A_2009	2009-XX-XX	Human	China	Human_coronavirus_229E	229e	alpha	full
229e/KM055566/1649A_2009/2009	KM055566	1649A_2009	2009-XX-XX	Human	China	Human_coronavirus_229E	229e	alpha	full
229e/KM055567/1658A_2009/2009	KM055567	1658A_2009	2009-XX-XX	Human	China	Human_coronavirus_229E	229e	alpha	full
229e/KM055568/1667A_2009/2009	KM055568	1667A_2009	2009-XX-XX	Human	China	Human_coronavirus_229E	229e	alpha	full
229e/KM055569/1761A_2010/2010	KM055569	1761A_2010	2010-XX-XX	Human	China	Human_coronavirus_229E	229e	alpha	full
229e/KM055570/1781A_2010/2010	KM055570	1781A_2010	2010-XX-XX	Human	China	Human_coronavirus_229E	229e	alpha	full
229e/KM055571/1782A_2010/2010	KM055571	1782A_2010	2010-XX-XX	Human	China	Human_coronavirus_229E	229e	alpha	full
229e/KM055572/1827A_2010/2010	KM055572	1827A_2010	2010-XX-XX	Human	China	Human_coronavirus_229E	229e	alpha	full
229e/KM055573/1829A_2010/2010	KM055573	1829A_2010	2010-XX-XX	Human	China	Human_coronavirus_229E	229e	alpha	full
229e/KM055574/1990A_2010/2010	KM055574	1990A_2010	2010-XX-XX	Human	China	Human_coronavirus_229E	229e	alpha	full
229e/KF293664/229E/NA	KF293664	229E	NA	Human	Thailand	Human_coronavirus_229E	229e	alpha	full
229e/KF293665/229E/NA	KF293665	229E	NA	Human	Thailand	Human_coronavirus_229E	229e	alpha	full
229e/KF293666/229E/NA	KF293666	229E	NA	Human	Thailand	Human_coronavirus_229E	229e	alpha	full
229e/MF542265/229E/Haiti_1/2016/2016	MF542265	229E/Haiti_1/2016	2016-03-XX	Human	Haiti	Human_coronavirus_229E	229e	alpha	full
229e/KF514429/229E/human/USA/892_11/1989/1989	KF514429	229E/human/USA/892_11/1989	1989-02-07	Human	USA	Human_coronavirus_229E	229e	alpha	full
229e/KF514432/229E/human/USA/932_72/1993/1993	KF514432	229E/human/USA/932_72/1993	1993-02-22	Human	USA	Human_coronavirus_229E	229e	alpha	full
229e/KF514433/229E/human/USA/933_40/1993/1993	KF514433	229E/human/USA/933_40/1993	1993-03-11	Human	USA	Human_coronavirus_229E	229e	alpha	full
229e/KF514430/229E/human/USA/933_50/1993/1993	KF514430	229E/human/USA/933_50/1993	1993-03-18	Human	USA	Human_coronavirus_229E	229e	alpha	full
229e/KF514431/229E/human/USA/953_49/1995/1995	KF514431	229E/human/USA/953_49/1995	1995-03-23	Human	USA	Human_coronavirus_229E	229e	alpha	full
229e/KM055575/2764A_2011/2011	KM055575	2764A_2011	2011-XX-XX	Human	China	Human_coronavirus_229E	229e	alpha	full
229e/KM055576/2861A_2011/2011	KM055576	2861A_2011	2011-XX-XX	Human	China	Human_coronavirus_229E	229e	alpha	full
229e/KM055577/2961A_2011/2011	KM055577	2961A_2011	2011-XX-XX	Human	China	Human_coronavirus_229E	229e	alpha	full
229e/KM055578/2981A_2011/2011	KM055578	2981A_2011	2011-XX-XX	Human	China	Human_coronavirus_229E	229e	alpha	full
229e/KM055579/359A_2007/2007	KM055579	359A_2007	2007-XX-XX	Human	China	Human_coronavirus_229E	229e	alpha	full
229e/KM055580/423A_2007/2007	KM055580	423A_2007	2007-XX-XX	Human	China	Human_coronavirus_229E	229e	alpha	full
