strain	accession	strain_name	date	host	country	virus	subtype	type	sequence_locus
229e/AF304460/229e_ref/Germany/2000	AF304460	229e_ref	2000-XX-XX	Human	Germany	Human_coronavirus_229e	229e	alpha	full
nl63/KM055607/1014A_2008/2008	KM055607	1014A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/KM055627/1014A_2008/2008	KM055627	1014A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/KM055632/1014A_2008/2008	KM055632	1014A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/KM055608/1023A_2008/2008	KM055608	1023A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/KM055628/1023A_2008/2008	KM055628	1023A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/KM055634/1023A_2008/2008	KM055634	1023A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/KM055609/1093A_2008/2008	KM055609	1093A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/KM055629/1093A_2008/2008	KM055629	1093A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/KM055635/1093A_2008/2008	KM055635	1093A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/FJ656169/110104/2007	FJ656169	110104	2007-02-XX	Human	Sweden	Human_coronavirus_NL63	nl63	alpha	full
nl63/FJ656170/110105/2007	FJ656170	110105	2007-03-XX	Human	Sweden	Human_coronavirus_NL63	nl63	alpha	full
nl63/FJ656171/110122/2007	FJ656171	110122	2007-03-XX	Human	Sweden	Human_coronavirus_NL63	nl63	alpha	full
nl63/FJ656172/110123/2007	FJ656172	110123	2007-03-XX	Human	Sweden	Human_coronavirus_NL63	nl63	alpha	full
nl63/FJ656173/110132/2007	FJ656173	110132	2007-03-XX	Human	Sweden	Human_coronavirus_NL63	nl63	alpha	full
nl63/FJ656174/110138/2007	FJ656174	110138	2007-03-XX	Human	Sweden	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359786/12MYKL0280/2012	KT359786	12MYKL0280	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359829/12MYKL0280/2012	KT359829	12MYKL0280	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359872/12MYKL0280/2012	KT359872	12MYKL0280	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359787/12MYKL0482/2012	KT359787	12MYKL0482	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359830/12MYKL0482/2012	KT359830	12MYKL0482	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359873/12MYKL0482/2012	KT359873	12MYKL0482	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359788/12MYKL0630/2012	KT359788	12MYKL0630	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359831/12MYKL0630/2012	KT359831	12MYKL0630	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359789/12MYKL0719/2012	KT359789	12MYKL0719	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359832/12MYKL0719/2012	KT359832	12MYKL0719	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359874/12MYKL0719/2012	KT359874	12MYKL0719	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359790/12MYKL0730/2012	KT359790	12MYKL0730	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359833/12MYKL0730/2012	KT359833	12MYKL0730	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359875/12MYKL0730/2012	KT359875	12MYKL0730	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359791/12MYKL0736/2012	KT359791	12MYKL0736	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359834/12MYKL0736/2012	KT359834	12MYKL0736	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359876/12MYKL0736/2012	KT359876	12MYKL0736	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359792/12MYKL0750/2012	KT359792	12MYKL0750	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359835/12MYKL0750/2012	KT359835	12MYKL0750	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359877/12MYKL0750/2012	KT359877	12MYKL0750	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359793/12MYKL0779/2012	KT359793	12MYKL0779	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359836/12MYKL0779/2012	KT359836	12MYKL0779	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359879/12MYKL0779/2012	KT359879	12MYKL0779	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359794/12MYKL0780/2012	KT359794	12MYKL0780	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359837/12MYKL0780/2012	KT359837	12MYKL0780	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359878/12MYKL0780/2012	KT359878	12MYKL0780	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359795/12MYKL0802/2012	KT359795	12MYKL0802	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359838/12MYKL0802/2012	KT359838	12MYKL0802	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359881/12MYKL0802/2012	KT359881	12MYKL0802	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359796/12MYKL0809/2012	KT359796	12MYKL0809	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359839/12MYKL0809/2012	KT359839	12MYKL0809	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359880/12MYKL0809/2012	KT359880	12MYKL0809	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359797/12MYKL0813/2012	KT359797	12MYKL0813	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359840/12MYKL0813/2012	KT359840	12MYKL0813	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359882/12MYKL0813/2012	KT359882	12MYKL0813	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359798/12MYKL0862/2012	KT359798	12MYKL0862	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359841/12MYKL0862/2012	KT359841	12MYKL0862	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359883/12MYKL0862/2012	KT359883	12MYKL0862	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
