strain	accession	strain_name	date	host	country	virus	subtype	type	sequence_locus
nl63/KM055627/1014A_2008/2008	KM055627	1014A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/KM055628/1023A_2008/2008	KM055628	1023A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/KM055629/1093A_2008/2008	KM055629	1093A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/KM055612/180A_2007/2007	KM055612	180A_2007	2007-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/KM055613/188A_2007/2007	KM055613	188A_2007	2007-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/KM055614/197A_2007/2007	KM055614	197A_2007	2007-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/KM055631/2093A_2010/2010	KM055631	2093A_2010	2010-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/KM055615/225A_2007/2007	KM055615	225A_2007	2007-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/KM055616/236A_2007/2007	KM055616	236A_2007	2007-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/KM055617/277A_2007/2007	KM055617	277A_2007	2007-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/KM055618/374A_2007/2007	KM055618	374A_2007	2007-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/KM055619/909A_2008/2008	KM055619	909A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/KM055620/930A_2008/2008	KM055620	930A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/KM055621/940A_2008/2008	KM055621	940A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/KM055622/945A_2008/2008	KM055622	945A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/KM055623/954A_2008/2008	KM055623	954A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/KM055624/971A_2008/2008	KM055624	971A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/KM055625/990A_2008/2008	KM055625	990A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/KM055626/996A_2008/2008	KM055626	996A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/JX104161/CBJ_037/2008	JX104161	CBJ_037	2008-11-04	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/JX524171/CBJ123/2009	JX524171	CBJ123	2009-01-24	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/MK334046/ChinaGD01/2018	MK334046	ChinaGD01	2018-09-01	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/MK334043/ChinaGD02/2018	MK334043	ChinaGD02	2018-08-15	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/MK334044/ChinaGD03/2018	MK334044	ChinaGD03	2018-07-13	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/MK334047/ChinaGD04/2018	MK334047	ChinaGD04	2018-07-25	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/MK334045/ChinaGD05/2018	MK334045	ChinaGD05	2018-08-14	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/MG772808/CN0601/14/2014	MG772808	CN0601/14	2014-11-25	Human	South_Korea	Human_coronavirus_NL63	nl63	alpha	full
nl63/KM055630/GS05_2009/2009	KM055630	GS05_2009	2009-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT266906/HCoV_NL63/Haiti_1/2015/2015	KT266906	HCoV_NL63/Haiti_1/2015	2015-01-16	Human	Haiti	Human_coronavirus_NL63	nl63	alpha	full
nl63/MN306018/HCoV_NL63/Seattle/USA/SC0179/2018/2018	MN306018	HCoV_NL63/Seattle/USA/SC0179/2018	2018-XX-XX	Human	USA	Human_coronavirus_NL63	nl63	alpha	full
nl63/MN306040/HCoV_NL63/Seattle/USA/SC0768/2019/2019	MN306040	HCoV_NL63/Seattle/USA/SC0768/2019	2019-XX-XX	Human	USA	Human_coronavirus_NL63	nl63	alpha	full
nl63/KY983586/HCoV_NL63/Seattle/USA/SC2940/2015/2015	KY983586	HCoV_NL63/Seattle/USA/SC2940/2015	2015-XX-XX	Human	USA	Human_coronavirus_NL63	nl63	alpha	full
nl63/MG428703/Kilifi_HH_0511_01_Jun_2010/2010	MG428703	Kilifi_HH_0511_01_Jun_2010	2010-06-01	Human	Kenya	Human_coronavirus_NL63	nl63	alpha	full
nl63/MG428701/Kilifi_HH_0512_04_Jun_2010/2010	MG428701	Kilifi_HH_0512_04_Jun_2010	2010-06-04	Human	Kenya	Human_coronavirus_NL63	nl63	alpha	full
nl63/MG428705/Kilifi_HH_0522_21_May_2010/2010	MG428705	Kilifi_HH_0522_21_May_2010	2010-05-21	Human	Kenya	Human_coronavirus_NL63	nl63	alpha	full
nl63/MG428700/Kilifi_HH_1602_01_Jun_2010/2010	MG428700	Kilifi_HH_1602_01_Jun_2010	2010-06-01	Human	Kenya	Human_coronavirus_NL63	nl63	alpha	full
nl63/MG428702/Kilifi_HH_3807_11_May_2010/2010	MG428702	Kilifi_HH_3807_11_May_2010	2010-05-11	Human	Kenya	Human_coronavirus_NL63	nl63	alpha	full
nl63/MG428706/Kilifi_HH_3808_24_May_2010/2010	MG428706	Kilifi_HH_3808_24_May_2010	2010-05-24	Human	Kenya	Human_coronavirus_NL63	nl63	alpha	full
nl63/MG428707/Kilifi_HH_5401_20_May_2010/2010	MG428707	Kilifi_HH_5401_20_May_2010	2010-05-20	Human	Kenya	Human_coronavirus_NL63	nl63	alpha	full
